lpbi_brasil;lpbi_china;lpbi_india;lpbi_peru;lpbi_rusia;lpbi_sudafric;limp_bra;limp_rus;limp_ind;limp_chi;limp_sud;lexp_bra;lexp_rus;lexp_ind;lexp_chi;lexp_sud
13,23528305;14,96274982;13,39327577;10,86373967;13,06505603;11,64093954;20,36177152;18,39405866;19,45127787;22,02546352;15,98104272;19,27268601;17,35741404;20,07738982;22,39743604;17,18527138
13,23640538;14,95694221;13,48756828;10,86629405;13,07257779;11,62377071;20,70563211;19,19988677;19,31913127;22,03068572;16,1024205;19,45007322;17,49259707;20,48625896;22,43193883;14,77653581
13,24826889;14,97450744;13,51827634;10,85225922;13,08267761;11,63970084;20,73929232;19,24640453;19,59578659;22,1008386;16,44920655;19,64166555;17,84947904;20,38917091;22,400441;16,61075423
13,25677521;14,98194659;13,51923016;10,88326019;13,08724115;11,65265088;20,69043486;18,46997171;19,48717304;22,15515206;16,42122461;19,66961609;17,53797815;20,14914957;22,40254968;17,27715426
13,26804083;14,97367898;13,52347583;10,89165885;13,0430487;11,64322978;20,85093488;17,84772131;19,51639724;21,99275602;16,07653058;19,88150372;16,18212418;20,35910257;22,27823922;16,27544242
13,27741753;14,99651848;13,54599461;10,88595752;13,05097714;11,66251892;20,88670621;18,14257846;19,60183376;22,21020912;16,71880421;19,89775424;17,01694943;20,22192527;22,40207347;15,80107458
13,28261024;15,0054174;13,56406501;10,87812436;13,06399289;11,64845324;20,6447036;18,94011415;19,41957108;22,00690023;16,32910173;19,83473312;16,96739824;19,89864003;22,40177822;15,28616315
13,29619634;15,02447598;13,58485348;10,8800322;13,07309309;11,65473748;20,69264771;18,49052571;19,39365307;21,84402677;16,06641288;19,88990851;17,26603247;19,32220015;22,39313356;16,03833141
13,30349756;15,03799457;13,61764945;10,88125073;13,08866905;11,66161268;20,65407451;18,10204329;19,43854838;21,90043114;16,55413624;20,07644705;16,499197;20,34373946;22,48354885;15,61195579
13,30436772;15,04698452;13,63536112;10,87811587;13,10109316;11,65748285;20,60271083;18,36821124;19,51744374;21,97962481;16,54304999;19,8979443;16,53960306;20,44250531;22,47998162;15,25249108
13,30832131;15,0581037;13,65389428;10,88126804;13,11062313;11,66094711;20,63642086;17,84656442;19,43134669;22,01862271;16,42509418;19,6029288;16,64915161;20,55522173;22,48957133;16,06160844
13,31812406;15,07353566;13,66513989;10,89326199;13,1219789;11,66152563;20,27811774;18,45625403;19,27598222;21,91738232;16,13526338;19,82236163;16,83013627;20,21228058;22,49284971;15,04749799
13,33119719;15,08425711;13,68159418;10,91354819;13,12725698;11,66452661;20,53337944;18,34578723;19,52768615;21,97788414;16,13817782;19,93754278;16,81660162;20,72367031;22,48826034;15,22190894
13,33863731;15,09226652;13,68972033;10,91699555;13,13389819;11,66306296;20,66807034;18,49146044;19,54182576;22,16306527;16,23239157;19,7899683;16,82225215;21,06448212;22,62505107;16,1051314
